"PUBMED.ID","MAPPED_TRAIT","BROAD.ANCESTRAL.CATEGORY","NUMBER.OF.INDIVIDUALS","INITIAL.SAMPLE.SIZE"
"28346442","ovarian carcinoma;ovarian carcinoma;ovarian carcinoma;ovarian clear cell adenocarcinoma;ovarian endometrioid carcinoma;ovarian mucinous adenocarcinoma;ovarian serous carcinoma;ovarian carcinoma;ovarian serous carcinoma;ovarian serous carcinoma;ovarian serous carcinoma;ovarian serous carcinoma","European;European;European;European;European;European;European;European;European;European;European;European","19036;63347;12412;42307;43751;43507;41953;85426;54990;42895;53978;43907","2,933 European ancestry carrier cases, 16,103 European ancestry carrier controls;22,406 European ancestry cases, 40,941 European ancestry controls;954 European ancestry carrier cases, 11,458 European ancestry carrier controls;1,366 European ancestry cases, 40,941 European ancestry controls;2,810 European ancestry cases, 40,941 European ancestry controls;2,566 European ancestry cases, 40,941 European ancestry controls;1,012 European ancestry cases, 40,941 European ancestry controls;16,924 European ancestry cases, 68,502 European ancestry controls;14,049 European ancestry cases, 40,941 European ancestry controls;1,954 European ancestry cases, 40,941 European ancestry controls;13,037 European ancestry cases, 40,941 European ancestry controls;2,966 European ancestry cases, 40,941 European ancestry controls"
"28346443","central nervous system cancer, glioma;central nervous system cancer, glioma;central nervous system cancer, glioblastoma multiforme","European;European;European","30659;24009;24381","12,469 European ancestry cases, 18,190 European ancestry controls.;5,819 European ancestry cases, 18,190 European ancestry controls.;6,191 European ancestry cases, 18,190 European ancestry controls."
"28346444","cancer","European","66307","7,745 European ancestry male cases, 58,562 European ancestry male controls"
"28598434","renal cell carcinoma","European","31190","10,784 European ancestry cases, 20,406 European ancestry controls"
"28604728","Testicular Germ Cell Tumor","European","24573","5,518 European ancestry cases, 19,055 European ancestry controls"
"28604730","lung adenocarcinoma;small cell lung carcinoma;lung carcinoma;lung carcinoma;squamous cell lung carcinoma","European;European;European;European;European","66756;24108;85716;40187;63053","11,273 European ancestry cases,  55,483 European ancestry controls;2,664 European ancestry cases,  21,444 European ancestry controls;29,266 European ancestry cases, 56,450 European ancestry controls;23,223 European ancestry cases,  16,964 European ancestry controls;7,426 European ancestry cases, 55,627 European ancestry controls"
"28604732","Testicular Germ Cell Tumor","European","17528","3,558 European ancestry cases, 13,970 European ancestry controls"
"28761973","breast carcinoma, femoral neck bone mineral density;breast carcinoma, spine bone mineral density","NR;NR","53236;53236","53,236 individuals with bone mineral density data, 5,152 Chinese ancestry breast cancer cases and controls;53,236 individuals with bone mineral density data, 5,152 Chinese ancestry breast cancer cases and controls"
"28960316","colorectal cancer","European","15783","1,701 Finnish ancestry cases, 14,082 Finnish ancestry controls"
"29058716","breast carcinoma;estrogen-receptor negative breast cancer;breast carcinoma","European;European;European","15566;72261;87827","7,784 European ancestry carrier cases, 7,782 European ancestry carrier controls;14,135 European ancestry cases, 58,126 European ancestry controls;14,135 European ancestry ER- cases, 58,126 European ancestry controls, 7,784 European ancestry  BRCA1 carrrier cases, 7,782 European ancestry BRCA1 carrrier controls"
"29059373","smoking behavior, non-small cell lung carcinoma","European","13336","1,399 European ancestry never smoker cases, 11,937 European ancestry smoker cases"
"29059683","breast carcinoma","European","139274","76,192 European ancestry cases, 63,082 European ancestry controls"
"29117387","prostate carcinoma","African American or Afro-Caribbean","11782","5,454 African American cases, 474 West African cases, 4,274 African American and African ancestry cases, 6,328 African American controls, 458 West African controls, 4,024 African American and African ancestry controls"
"29196614","Hodgkins lymphoma;Hodgkins lymphoma, mixed cellularity;nodular sclerosis Hodgkin lymphoma","European;European;European","16757;15143;15603","3,077 European ancestry cases, 13,680 European ancestry controls;828 European ancestry cases, 14,315 European ancestry controls;1,278 European ancestry cases, 14,325 European ancestry controls"
"29299148","cancer","European","19136","3,555 Swedish ancestry cases, 15,581 Swedish ancestry controls"
"29330379","lung carcinoma, schizophrenia","NR, European","103624","32,405 European and unknown ancestry schizophrenia cases, 12,160 European and unknown ancestry lung cancer cases, 59,059 European and unknown ancestry controls"
"29348612","acute lymphoblastic leukemia","Hispanic or Latin American","10533","1,949 Latino cases, 8,584 Latino controls, 1,184 European ancestry cases, 3551 European ancestry controls, 130 African American cases, 3,842 African American controls"
"29422604","pancreatic carcinoma","European","21536","9,040 European ancestry cases, 12,496 European ancestry controls"
"29471430","colorectal cancer","East Asian","33870","6,692 Japanese ancestry cases, 27,178 Japanese ancestry controls"
"29534260","Plantar Fasciitis, Plantar Fibromatosis","European","83264","17,627 European ancestry cases, 2,044 Latin American cases, 1,300 East Asian cases, 658 African American cases, 65,637 European ancestry controls, 6,516 Latin American controls, 6,218 East Asian controls, 2,508 African American controls"
"29608257","endometrial carcinoma, endometriosis","NR","14446","3,194 endometriosis cases, 5,330 non-endometriosis controls, 2,057 endometrial cancer cases, 3,866 non-endometrial cancer controls"
"29615537","cancer","European","33431","4,935 European ancestry cases, up to 28,496 European ancestry controls"
"29632299","B-cell acute lymphoblastic leukemia","European","17051","2,442 European ancestry cases, 14,609 European ancestry controls"
"29739929","non-melanoma skin carcinoma","NR","187652","5,912 European ancestry cases, 181,740 European ancestry controls"
"29743610","glioma;glioma;glioma","European;European;European","18723;15203;13722","4,831 European ancestry male cases, 3,206 European ancestry female cases, 5,216 European ancestry male controls, 5,470 European ancestry female controls;2,835 European ancestry male cases, 1,682 European ancestry female cases, 5,216 European ancestry male controls, 5,470 European ancestry female controls;1,716 European ancestry male cases, 1,320 European ancestry female cases, 5,216 European ancestry male controls, 5,470 European ancestry female controls"
"29762745","Meningioma","European","11429","1,606 European ancestry cases, 9,823 European ancestry controls"
"29892016","prostate carcinoma;prostate carcinoma;prostate carcinoma;prostate carcinoma;prostate carcinoma;prostate carcinoma;prostate carcinoma","European;European;European;European;European;European;European","25300;76581;58751;73475;61978;140254;51244","15,561 European ancestry high aggressive cases, 9,739 European ancestry low aggressive cases;14,160 European ancestry advanced cases, 62,421 European ancestry non-advanced cases;20,658 European ancestry high aggressive cases, 38,093 European ancestry low/intermediate aggressive cases;15,167 European ancestry cases, 58,308 European ancestry controls;61,978 European ancestry cases;79,148 European ancestry cases, 61,106 European ancestry controls;6,988 European ancestry cases, 44,256 European ancestry controls"
"29917119","colorectal cancer","European","67812","36,948 European ancestry cases, 30,864 European ancestry controls"
"29924316","lung carcinoma, family history of lung cancer;lung adenocarcinoma, family history of lung cancer;squamous cell lung carcinoma, family history of lung cancer","European;European;European","35953;32338;31930","1,993 European ancestry cases, 33,960 European ancestry controls;775 European ancestry cases, 31,563 European ancestry controls;367 European ancestry cases, 31,563 European ancestry controls"
"29971594","lung carcinoma, radon exposure measurement","European","28599","49 European ancestry high radon exposure cases, 15,028 European ancestry low radon exposure cases, 259 European ancestry high radon exposure controls, 13,263 European ancestry low radon exposure controls"
"30093612","endometrial carcinoma;endometrial carcinoma;endometrial carcinoma","European;European;European","121885;54884;36677","12,906 European ancestry cases, 108,979 European ancestry controls;8,758 European ancestry cases, 46,126 European ancestry controls;1,230 European ancestry cases, 35,447 European ancestry controls"
"30104567","lung carcinoma;lung carcinoma","European;European","10473;10473","4,918 European ancestry cases, 5,555 European ancestry controls;4,918 European ancestry cases, 5,555 European ancestry controls"
"30104761","thyroid carcinoma;colorectal cancer","European;European","407757;387318","358 European ancestry cases, 407,399 European ancestry controls;4,562 European ancestry cases, 382,756 European ancestry controls"
"30152087","age at onset, glioblastoma multiforme","NR","15094","1,533 cases diagnosed below median age, 1,476 cases diagnosed at median age, 1,503 cases diagnosed above median age, 10,582 controls,"
"30194254","Hodgkins lymphoma","European","27750","5,325 European ancestry cases, 22,425 European ancestry controls"
"30194396","uterine fibroid","European","539925","16,595 European ancestry cases, 523,330 European ancestry controls"
"30213928","multiple myeloma","European","249665","8,197 European ancestry cases, 241,468 European ancestry controls"
"30226466","uterine fibroid","European","424481","15,910 European ancestry cases, 408,571 European ancestry controls"
"30281874","gastric carcinoma","East Asian","33349","6,171 Japanese ancestry cases, 27,178 Japanese ancestry controls"
"30410027","prostate carcinoma;lower urinary tract symptom, benign prostatic hyperplasia;lower urinary tract symptom, benign prostatic hyperplasia","European;European;European","295892;301162;295351","11,708 European ancestry cases, 284,184 European ancestry controls;20,621 European ancestry cases, 280,541 European ancestry controls;18,138 European ancestry cases, 277,213 European ancestry controls"
"30429480","nevus count, cutaneous melanoma","European","88583","52,506 European ancestry individuals, 12,874 European ancestry cases, 23,203 European ancestry controls"
"30510241","colorectal cancer, colorectal adenoma;colorectal cancer;colorectal cancer;colorectal cancer","European;European;European;European","120184;26554;23691;32072","55,105 European ancestry cases, 3,026 East Asian ancestry cases, 65,079 European ancestry controls, 2,268 East Asian ancestry controls;11,895 European ancestry cases, 14,659 European ancestry controls;11,835 European ancestry cases, 11,856 European ancestry controls;19,948 European ancestry cases, 12,124 European ancestry controls"
"30529582","colorectal cancer","East Asian","70506","22,775 East Asian ancestry cases, 47,731 East Asian ancestry controls"
"30541042","pancreatic carcinoma","European","21536","9,040 European ancestry cases, 12,496 European ancestry controls"
"30557369","ovarian carcinoma","East Asian","18173","681 Japanese ancestry cases, 17,492 Japanese ancestry controls"
"30643255","Nasal Cavity Polyp","European","719047","86 European ancestry whole-genome sequenced cases, 4,280 European ancestry cases, 13,941 European ancestry whole-genome sequenced controls, 700,740 European ancestry controls"
"30938820","childhood T acute lymphoblastic leukemia","African American or Afro-Caribbean, European, NR","12178","157 African American child cases, 699 European ancestry child cases, 126 Hispanic child cases, 209 child cases, 12,178 European, African American and unknown ancestry controls"
"31089142","colorectal cancer","European","92967","31,197 European ancestry cases, 61,770 European ancestry controls"
"31174203","keratinocyte carcinoma;basal cell carcinoma;squamous cell carcinoma","European;European;European","358840;651138;635331","at least 18,538 European ancestry cases, at least 340,302 European ancestry controls;31,787 European ancestry cases, 619,351 European ancestry controls;9,674 European ancestry cases, 625,657 European ancestry controls"
"31231134","sex interaction measurement, renal cell carcinoma","European","13230","3,227 European ancestry male cases, 1,992 European ancestry female cases, 4,916 European ancestry male controls, 3,095 European ancestry female controls"
"31249589","uterine fibroid","European","73302","8,168 European ancestry cases, 65,134 European ancestry controls, 1,278 African ancestry cases, 1,914 African ancestry  controls"
"31326317","non-small cell lung carcinoma;non-small cell lung carcinoma;squamous cell lung carcinoma;squamous cell lung carcinoma;lung adenocarcinoma;lung adenocarcinoma","East Asian;European;European;East Asian;East Asian;European","26655;27820;18517;17188;22090;20846","13,327 Chinese ancestry cases, 13,793 European ancestry cases, 13,328 Chinese ancestry controls, 14,027 European ancestry controls;13,327 Chinese ancestry cases, 13,793 European ancestry cases, 13,328 Chinese ancestry controls, 14,027 European ancestry controls;3,860 Chinese ancestry cases, 4,490 European ancestry cases, 13,328 Chinese ancestry controls, 14,027 European ancestry controls;3,860 Chinese ancestry cases, 4,490 European ancestry cases, 13,328 Chinese ancestry controls, 14,027 European ancestry controls;8,762 Chinese ancestry cases, 6,819 European ancestry cases, 13,328 Chinese ancestry controls, 14,027 European ancestry controls;8,762 Chinese ancestry cases, 6,819 European ancestry cases, 13,328 Chinese ancestry controls, 14,027 European ancestry controls"
"31407831","follicular lymphoma, multiple sclerosis;rheumatoid arthritis, follicular lymphoma;follicular lymphoma, systemic lupus erythematosus;multiple sclerosis, chronic lymphocytic leukemia;diffuse large B-cell lymphoma, multiple sclerosis;marginal zone B-cell lymphoma, multiple sclerosis;rheumatoid arthritis, chronic lymphocytic leukemia;diffuse large B-cell lymphoma, rheumatoid arthritis;rheumatoid arthritis, marginal zone B-cell lymphoma;systemic lupus erythematosus, chronic lymphocytic leukemia;diffuse large B-cell lymphoma, systemic lupus erythematosus;marginal zone B-cell lymphoma, systemic lupus erythematosus","European;European;European;European;European;European;European;European;European;European;European;European","37714;18566;33776;36793;38202;33880;17645;19054;14732;32855;34264;29942","2,686 European ancestry follicular lymphoma cases, 9,772 European ancestry multiple sclerosis cases, 25,256 European ancestry controls;2,686 European ancestry follicular lymphoma cases, 3,921 European ancestry rheumatoid arthritis cases, 11,959 European ancestry controls;2,686 European ancestry follicular lymphoma cases, 7,219 European ancestry systemic lupus erythematosus cases, 23,871 European ancestry controls;2,492 European ancestry chronic lymphocytic leukemia cases, 9,772 European ancestry multiple sclerosis cases, 24,529 European ancestry controls;3,617 European ancestry diffuse large B-cell lymphoma cases, 9,772 European ancestry multiple sclerosis cases, 24,813 European ancestry controls;741 European ancestry marginal zone lymphoma cases, 9,772 European ancestry multiple sclerosis cases, 23,367 European ancestry controls;2,492 European ancestry chronic lymphocytic leukemia cases, 3,921 European ancestry rheumatoid arthritis cases, 11,232 European ancestry controls;3,617 European ancestry diffuse large B-cell lymphoma cases, 3,921 European ancestry rheumatoid arthritis cases, 11,516 European ancestry controls;741 European ancestry marginal zone lymphoma cases, 3,921 European ancestry rheumatoid arthritis cases, 10,070 European ancestry controls;2,492 European ancestry chronic lymphocytic leukemia cases, 7,219 European ancestry systemic lupus erythematosus cases, 23,144 European ancestry controls;3,617 European ancestry diffuse large B-cell lymphoma cases, 7,219 European ancestry systemic lupus erythematosus cases, 23,428 European ancestry controls;741 European ancestry marginal zone lymphoma cases, 7,219 European ancestry systemic lupus erythematosus cases, 21,982 European ancestry controls"
"31488892","cervical carcinoma;cervical carcinoma;endometrial carcinoma;endometrial carcinoma;ovarian carcinoma;ovarian carcinoma;uterine fibroid;uterine fibroid","East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian;East Asian","40094;40094;40465;40465;40203;40203;44792;44792","538 Japanese ancestry cases, 39,556 Japanese ancestry controls;538 Japanese ancestry cases, 39,556 Japanese ancestry controls;909 Japanese ancestry cases, 39,556 Japanese ancestry controls;909 Japanese ancestry cases, 39,556 Japanese ancestry controls;647 Japanese ancestry cases, 39,556 Japanese ancestry controls;647 Japanese ancestry cases, 39,556 Japanese ancestry controls;5,236 Japanese ancestry cases, 39,556 Japanese ancestry controls;5,236 Japanese ancestry cases, 39,556 Japanese ancestry controls"
"31527586","esophageal adenocarcinoma, Barrett's esophagus","European, NR","32925","8,998 European and unknown ancestry Barrett's esophagus cases, 4,680 European and unknown ancestry esophageal adenocarcinoma cases, 19,247 European and unknown ancestry controls"
"31562322","prostate carcinoma","East Asian","15770","5,088 Japanese ancestry cases, 10,682 Japanese ancestry controls"
"31577861","lung carcinoma","European","36842","20,871 European ancestry cases, 15,971 European ancestry controls, 2,331 Chinese ancestry cases, 3,077 Chinese ancestry controls"
"31605138","neuroblastoma, cutaneous melanoma","European","42380","2,101 European ancestry neuroblastoma cases, 12,874 European ancestry malignant cutaneous melanoma cases, 27,405 European ancestry controls"
